key,message_id,status,timestamp
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQzU4NjcyNTREM0FGNzMwMTUzAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQzU4NjcyNTREM0FGNzMwMTUzAA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMjZGNzU1MjQyOEFGOEI3MDcwAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMjZGNzU1MjQyOEFGOEI3MDcwAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSRDc3QjU5RkEyRTM0NDcxNERBAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSRDc3QjU5RkEyRTM0NDcxNERBAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNzJGOEFFNDAwN0Y5MTAxN0I5AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNzJGOEFFNDAwN0Y5MTAxN0I5AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRDUzODM4RTdFMzk5QTlDNTc1AA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRDUzODM4RTdFMzk5QTlDNTc1AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRDUzODM4RTdFMzk5QTlDNTc1AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRDUzODM4RTdFMzk5QTlDNTc1AA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSOTU0ODBDMzQxNzY0NzlGM0M0AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSOTU0ODBDMzQxNzY0NzlGM0M0AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRjQzNzc5QzI5NUQzQTNEMzk0AA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRjQzNzc5QzI5NUQzQTNEMzk0AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRjQzNzc5QzI5NUQzQTNEMzk0AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRjQzNzc5QzI5NUQzQTNEMzk0AA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNzIzRENDNEM5OEVEMDlDOUExAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNzIzRENDNEM5OEVEMDlDOUExAA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNkE3MDlCMTlBQ0UyOERFQTZDAA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNkE3MDlCMTlBQ0UyOERFQTZDAA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSOTY4MzE3RTRGMTZFRDJFQzUwAA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSOTY4MzE3RTRGMTZFRDJFQzUwAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSRUFEREUwRjZBNDMzNDY2MDBEAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSRUFEREUwRjZBNDMzNDY2MDBEAA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNkE3MDlCMTlBQ0UyOERFQTZDAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNkE3MDlCMTlBQ0UyOERFQTZDAA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNjgyOUUxRkMzNkMwQzY2MDc4AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSNjgyOUUxRkMzNkMwQzY2MDc4AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNUE3NUY1QkUxODlGMEI5RjhEAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNUE3NUY1QkUxODlGMEI5RjhEAA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSRDZGRDZGRDE2OUFBQjY4ODk4AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSRDZGRDZGRDE2OUFBQjY4ODk4AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSODQ3OTM5MEEyMkM1NkZERkU1AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSODQ3OTM5MEEyMkM1NkZERkU1AA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSQkM1NjI4QkNCQzBFM0Y4QTU5AA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSQkM1NjI4QkNCQzBFM0Y4QTU5AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSOUYyMDk4MTlERDcwNDJGMzQ5AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSOUYyMDk4MTlERDcwNDJGMzQ5AA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRkI1RDJENUQ0RThEOTc2NjQ2AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRkI1RDJENUQ0RThEOTc2NjQ2AA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNjY5QUYxODU4NTEwMkJBRjlGAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNjY5QUYxODU4NTEwMkJBRjlGAA==,read,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMkY1ODYzOUFGMkEyMDU4QjYwAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSMkY1ODYzOUFGMkEyMDU4QjYwAA==,delivered,
wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSRTczNTRDOEQ1NTdDQzBDMDNCAA==:delivered,wamid.HBgMOTE5NTM1NTA3MjU1FQIAERgSRTczNTRDOEQ1NTdDQzBDMDNCAA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQjdDQ0RGMzhEMTE3QkExNjA4AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQjdDQ0RGMzhEMTE3QkExNjA4AA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRjM2ODBFRkM2NzYyQzlEOEFGAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRjM2ODBFRkM2NzYyQzlEOEFGAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRkVEOENDQTZBMzU3M0VBRjEwAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRkVEOENDQTZBMzU3M0VBRjEwAA==,read,
